Section,Field,Type,Description,Required,Validation / Notes,Options / Reference
"Event Basics","Event ID","Auto-generated text","Unique ID generated in format PR-YYYYMMDD-XXXXXX","Auto","Generated client-side; stored with submission",""
"Event Basics","Submission Timestamp","DateTime","Captured automatically when submission is received","Auto","ISO 8601 date-time",""
"Event Basics","Preferred Event Date","Date","Requested primary event date","Yes","Must be valid calendar date",""
"Event Basics","Event Start Time","Time","Requested event start time","Yes","24h or 12h time accepted",""
"Event Basics","Event End Time","Time","Requested event end time","Yes","End time must be after start time",""
"Event Basics","Event Duration (hours)","Number","Calculated or manually entered duration","Auto/No","If manual, must be numeric >= 0",""
"Event Basics","Date Flexibility","Single select","How flexible the client is on event date","No","","Firm; +/- 1 Day; +/- 1 Week; Open"
"Event Basics","Venue Name","Text","Venue where the event will be hosted","Yes","",""
"Event Basics","Venue Address","Long text","Street, city, state, zip","Yes","",""
"Event Basics","Venue Type","Dropdown","Type of venue","No","","Hotel; Event Center; Private Residence; Outdoor; Other"
"Event Basics","Indoor / Outdoor","Dropdown","Whether venue is indoor, outdoor, or hybrid","No","","Indoor; Outdoor; Hybrid"
"Event Basics","Load-in Requirements","Long text","Dock access, elevators, security, etc.","No","",""
"Event Basics","On-Site Contact Name","Text","Primary day-of contact","Yes","",""
"Event Basics","On-Site Contact Phone","Phone","Best day-of phone number","Yes","Auto-format to (###) ###-####",""
"Event Basics","On-Site Contact Email","Email","Email for day-of coordination","No","Must be valid email format",""
"Headcount & Budget","Minimum Guest Count","Number","Lowest expected attendee count","Yes","Integer >= 0",""
"Headcount & Budget","Target Guest Count","Number","Most likely attendee count","Yes","Integer >= minimum",""
"Headcount & Budget","Maximum Guest Count","Number","Highest expected attendee count","Yes","Integer >= target",""
"Headcount & Budget","Headcount Flexibility","Single select","How flexible attendee count is","No","","Firm; +/- 10%; +/- 20%; Open"
"Headcount & Budget","Budget Per Guest (Low)","Currency","Lower bound per guest budget","No","Numeric >= 0",""
"Headcount & Budget","Budget Per Guest (Target)","Currency","Target per guest budget","Yes","Numeric >= low",""
"Headcount & Budget","Budget Per Guest (High)","Currency","Upper bound per guest budget","No","Numeric >= target",""
"Headcount & Budget","Total Budget (Low)","Currency","Minimum total spend","No","Numeric >= 0",""
"Headcount & Budget","Total Budget (Target)","Currency","Target total spend","No","Numeric >= low",""
"Headcount & Budget","Total Budget (High)","Currency","Maximum total spend","No","Numeric >= target",""
"Headcount & Budget","Budget Flexibility","Single select","Tolerance for adjusting spend","No","","Firm; +/- 10%; +/- 20%; Open"
"Event Type & Service Style","Event Category","Dropdown","Primary event category","Yes","","Corporate; Non-Profit; Private Social; Wedding; Social Celebration; Other"
"Event Type & Service Style","Event Theme / Purpose","Long text","Narrative description of goals","No","",""
"Event Type & Service Style","Service Style Preferences","Checkboxes","Preferred food service formats","Yes","Allow multi-select","Buffet; Plated; Stations; Family Style; Passed Hors d'oeuvres; Bar Service; Dessert Focused; Other"
"Event Type & Service Style","Beverage Requirements","Long text","Bar, beverage or specialty drink needs","No","",""
"Event Type & Service Style","Equipment / Rentals Needed","Long text","Tables, linens, china, rentals","No","",""
"Contact & Billing","Primary Contact Name","Text","Person submitting inquiry","Yes","",""
"Contact & Billing","Primary Contact Email","Email","Best email for follow-up","Yes","Must be valid email",""
